x,y,label,label_str
-31.993103,-37.707516,0,正常 (Normal)
-30.923466,-39.78457,0,正常 (Normal)
-30.873817,-39.850178,0,正常 (Normal)
-30.876627,-39.87089,0,正常 (Normal)
-31.540417,-37.36576,0,正常 (Normal)
-37.339058,-33.267258,0,正常 (Normal)
-37.44328,-33.39814,0,正常 (Normal)
-31.653204,-37.519566,0,正常 (Normal)
-33.560608,-35.339203,0,正常 (Normal)
-31.790592,-37.543194,0,正常 (Normal)
-31.82287,-37.55034,0,正常 (Normal)
-31.877306,-37.62511,0,正常 (Normal)
-33.78282,-35.377785,0,正常 (Normal)
-33.69905,-35.26208,0,正常 (Normal)
-33.63949,-35.200348,0,正常 (Normal)
-36.430527,-33.722305,0,正常 (Normal)
-36.44444,-33.75702,0,正常 (Normal)
-36.12686,-33.219357,0,正常 (Normal)
-36.64511,-34.165516,0,正常 (Normal)
-36.35729,-33.74481,0,正常 (Normal)
-36.211483,-33.387413,0,正常 (Normal)
-31.643015,-37.385654,0,正常 (Normal)
-31.646528,-37.4379,0,正常 (Normal)
-30.817041,-39.85021,0,正常 (Normal)
-30.829775,-39.914623,0,正常 (Normal)
-31.022367,-40.03935,0,正常 (Normal)
-30.831598,-39.852814,0,正常 (Normal)
-30.881006,-39.955738,0,正常 (Normal)
-33.599415,-35.10073,0,正常 (Normal)
-38.700695,-34.31731,0,正常 (Normal)
-38.69345,-34.35409,0,正常 (Normal)
-30.965681,-42.467663,0,正常 (Normal)
-30.947882,-42.472153,0,正常 (Normal)
-30.966516,-42.52364,0,正常 (Normal)
-30.959053,-42.49765,0,正常 (Normal)
-36.33975,-33.657555,0,正常 (Normal)
-36.881752,-34.77261,0,正常 (Normal)
-36.29961,-33.536633,0,正常 (Normal)
-36.45295,-33.875797,0,正常 (Normal)
-31.832561,-37.543434,0,正常 (Normal)
-31.747343,-37.51851,0,正常 (Normal)
-36.264694,-33.4906,0,正常 (Normal)
-35.98165,-33.001842,0,正常 (Normal)
-35.910133,-32.91395,0,正常 (Normal)
-35.83606,-32.760387,0,正常 (Normal)
-35.823742,-32.76848,0,正常 (Normal)
-35.916138,-32.86657,0,正常 (Normal)
-35.882195,-32.824486,0,正常 (Normal)
-35.86361,-32.82587,0,正常 (Normal)
-35.860542,-32.80079,0,正常 (Normal)
-35.78068,-32.757683,0,正常 (Normal)
-35.707184,-32.688618,0,正常 (Normal)
-30.647518,-40.052357,0,正常 (Normal)
-38.815735,-34.07414,0,正常 (Normal)
-38.8201,-34.070053,0,正常 (Normal)
-36.591827,-32.681164,0,正常 (Normal)
-37.489906,-33.464794,0,正常 (Normal)
-37.52074,-33.454422,0,正常 (Normal)
-30.88833,-39.898144,0,正常 (Normal)
-30.877203,-39.80409,0,正常 (Normal)
-30.750319,-39.978775,0,正常 (Normal)
-33.27655,-34.994858,0,正常 (Normal)
-33.336548,-35.092285,0,正常 (Normal)
-33.36375,-35.138878,0,正常 (Normal)
-31.57736,-37.414993,0,正常 (Normal)
-31.666002,-37.44729,0,正常 (Normal)
-30.885448,-40.045273,0,正常 (Normal)
-31.795494,-37.571766,0,正常 (Normal)
-32.100418,-37.59108,0,正常 (Normal)
-32.443745,-37.908108,0,正常 (Normal)
-38.18366,-34.699577,0,正常 (Normal)
-38.170696,-34.738724,0,正常 (Normal)
-31.155634,-39.94273,0,正常 (Normal)
-31.256712,-42.575768,0,正常 (Normal)
-31.22795,-42.55873,0,正常 (Normal)
-31.190376,-42.55363,0,正常 (Normal)
-31.160637,-42.50687,0,正常 (Normal)
-34.09826,-35.624428,0,正常 (Normal)
-34.207237,-35.69351,0,正常 (Normal)
-35.430058,-36.855335,0,正常 (Normal)
-32.91145,-40.64132,0,正常 (Normal)
-33.14101,-40.727364,0,正常 (Normal)
-31.863297,-42.61561,0,正常 (Normal)
-31.860298,-42.602646,0,正常 (Normal)
-31.42855,-43.213577,0,正常 (Normal)
-31.88764,-42.615406,0,正常 (Normal)
-31.854668,-42.617054,0,正常 (Normal)
-33.334526,-40.757683,0,正常 (Normal)
-31.640547,-43.297462,0,正常 (Normal)
-34.767796,-39.293945,0,正常 (Normal)
-31.682446,-43.164036,0,正常 (Normal)
-32.233032,-42.51258,0,正常 (Normal)
-32.28475,-42.512634,0,正常 (Normal)
-34.95633,-39.39787,0,正常 (Normal)
-34.86843,-39.288517,0,正常 (Normal)
-34.85554,-39.284737,0,正常 (Normal)
-34.8165,-39.24904,0,正常 (Normal)
-37.418854,-36.11075,0,正常 (Normal)
-37.39547,-36.132713,0,正常 (Normal)
-37.379314,-35.983288,0,正常 (Normal)
